name,ingredients,instructions,cuisine,prep_time,cook_time,difficulty
Sambar,"Lentils, Vegetables, Tamarind, Sambar Powder, Mustard Seeds, Curry Leaves","1. Cook lentils until soft. 2. Boil vegetables. 3. Add tamarind water and sambar powder. 4. Mix lentils and vegetables. 5. Temper with mustard seeds. 6. Serve hot with rice.",South Indian,15,25,Easy
Butter Chicken,"Chicken, Butter, Cream, Tomato, Cashew, Ginger, Garlic, Spices","1. Marinate chicken with yogurt. 2. Grill or fry chicken. 3. Make gravy with tomatoes and cashews. 4. Add cream and butter. 5. Add chicken pieces. 6. Simmer and serve.",Indian,30,30,Medium
Pav Bhaji,"Mixed Vegetables, Butter, Onion, Tomato, Pav Bhaji Masala, Bread","1. Boil and mash vegetables. 2. Fry onions and tomatoes. 3. Add pav bhaji masala. 4. Mix mashed vegetables. 5. Add butter generously. 6. Serve with toasted pav.",Indian,20,25,Easy
Tandoori Chicken,"Chicken, Yogurt, Lemon, Ginger, Garlic, Tandoori Masala, Oil","1. Make marinade with yogurt and spices. 2. Marinate chicken for 4 hours. 3. Preheat oven to 200C. 4. Arrange chicken on tray. 5. Bake for 30 minutes. 6. Serve with mint chutney.",Indian,240,30,Medium
Veg Pulao,"Rice, Mixed Vegetables, Onion, Ghee, Cumin, Bay Leaf, Spices","1. Soak rice for 20 minutes. 2. Heat ghee and add whole spices. 3. Fry onions. 4. Add vegetables and rice. 5. Add water and cook. 6. Serve hot with raita.",Indian,25,20,Easy
Paneer Tikka,"Paneer, Bell Pepper, Onion, Yogurt, Ginger, Garlic, Tikka Masala","1. Cut paneer and vegetables. 2. Make marinade with yogurt and spices. 3. Marinate for 2 hours. 4. Thread on skewers. 5. Grill or bake until charred. 6. Serve with chutney.",Indian,120,20,Medium
Khichdi,"Rice, Lentils, Ghee, Cumin, Turmeric, Ginger, Vegetables","1. Wash rice and lentils. 2. Heat ghee and add cumin. 3. Add ginger and vegetables. 4. Add rice and lentils. 5. Add water and pressure cook. 6. Serve with pickle.",Indian,10,20,Easy
Malai Kofta,"Paneer, Potato, Cashew, Cream, Onion, Tomato, Spices","1. Mash paneer and potato. 2. Make kofta balls and fry. 3. Make gravy with onions and tomatoes. 4. Add cashew paste and cream. 5. Add koftas to gravy. 6. Serve hot.",Indian,30,30,Hard
Idli Sambar,"Rice, Lentils, Vegetables, Tamarind, Sambar Powder, Mustard Seeds","1. Soak rice and lentils. 2. Grind and ferment batter. 3. Steam idlis. 4. Make sambar with vegetables. 5. Temper with mustard seeds. 6. Serve idli with sambar.",South Indian,720,30,Medium
Poha,"Flattened Rice, Onion, Potato, Peanuts, Curry Leaves, Turmeric, Mustard Seeds","1. Rinse poha and drain. 2. Heat oil and add mustard seeds. 3. Add peanuts and curry leaves. 4. Add onions and potatoes. 5. Add poha and turmeric. 6. Serve with lemon.",Indian,10,15,Easy
